2022-12-16 16:08:08,722 INFO  [AWT-EventQueue-0] UsuariosController:137 - Listar usuarios
2022-12-16 16:08:08,722 INFO  [AWT-EventQueue-0] ExistDB:29 - Conectando a existdb
2022-12-16 16:08:08,725 INFO  [AWT-EventQueue-0] ExistDB:35 - Conectado a existdb
2022-12-16 16:08:19,978 INFO  [AWT-EventQueue-0] UsuariosController:62 - Buscar usuario
2022-12-16 16:08:19,979 INFO  [AWT-EventQueue-0] ExistDB:29 - Conectando a existdb
2022-12-16 16:08:19,984 INFO  [AWT-EventQueue-0] ExistDB:35 - Conectado a existdb
2022-12-16 16:08:25,016 INFO  [AWT-EventQueue-0] UsuariosController:137 - Listar usuarios
2022-12-16 16:08:25,016 INFO  [AWT-EventQueue-0] ExistDB:29 - Conectando a existdb
2022-12-16 16:08:25,023 INFO  [AWT-EventQueue-0] ExistDB:35 - Conectado a existdb
2022-12-16 16:08:28,054 INFO  [AWT-EventQueue-0] UsuariosController:137 - Listar usuarios
2022-12-16 16:08:28,054 INFO  [AWT-EventQueue-0] ExistDB:29 - Conectando a existdb
2022-12-16 16:08:28,060 INFO  [AWT-EventQueue-0] ExistDB:35 - Conectado a existdb
